OBJECTID	src_FID	nbr_FID	LENGTH	NODE_COUNT
1	0	1	100	0
2	0	30	100	0
4	1	0	100	0
5	1	2	100	0
7	1	31	100	0
9	2	1	100	0
10	2	3	100	0
12	2	32	100	0
14	3	2	100	0
15	3	4	100	0
17	3	33	100	0
19	4	3	100	0
20	4	5	100	0
22	4	34	100	0
24	5	4	100	0
25	5	6	100	0
27	5	35	100	0
29	6	5	100	0
30	6	7	100	0
32	6	36	100	0
34	7	6	100	0
35	7	8	100	0
37	7	37	100	0
39	8	7	100	0
40	8	9	100	0
42	8	38	100	0
44	9	8	100	0
45	9	10	100	0
47	9	39	100	0
49	10	9	100	0
50	10	11	100	0
52	10	40	100	0
54	11	10	100	0
55	11	12	100	0
57	11	41	100	0
59	12	11	100	0
60	12	13	100	0
62	12	42	100	0
64	13	12	100	0
65	13	14	100	0
67	13	43	100	0
69	14	13	100	0
70	14	15	100	0
72	14	44	100	0
74	15	14	100	0
75	15	16	100	0
77	15	45	100	0
79	16	15	100	0
80	16	17	100	0
82	16	46	100	0
84	17	16	100	0
85	17	18	100	0
87	17	47	100	0
89	18	17	100	0
90	18	19	100	0
92	18	48	100	0
94	19	18	100	0
95	19	20	100	0
97	19	49	100	0
99	20	19	100	0
100	20	21	100	0
102	20	50	100	0
104	21	20	100	0
105	21	22	100	0
107	21	51	100	0
109	22	21	100	0
110	22	23	100	0
112	22	52	100	0
114	23	22	100	0
115	23	24	100	0
117	23	53	100	0
119	24	23	100	0
120	24	25	100	0
122	24	54	100	0
124	25	24	100	0
125	25	26	100	0
127	25	55	100	0
129	26	25	100	0
130	26	27	100	0
132	26	56	100	0
134	27	26	100	0
135	27	28	100	0
137	27	57	100	0
139	28	27	100	0
140	28	29	100	0
142	28	58	100	0
144	29	28	100	0
146	29	59	100	0
147	30	0	100	0
149	30	31	100	0
150	30	60	100	0
153	31	1	100	0
155	31	30	100	0
156	31	32	100	0
158	31	61	100	0
161	32	2	100	0
163	32	31	100	0
164	32	33	100	0
166	32	62	100	0
169	33	3	100	0
171	33	32	100	0
172	33	34	100	0
174	33	63	100	0
177	34	4	100	0
179	34	33	100	0
180	34	35	100	0
182	34	64	100	0
185	35	5	100	0
187	35	34	100	0
188	35	36	100	0
190	35	65	100	0
193	36	6	100	0
195	36	35	100	0
196	36	37	100	0
198	36	66	100	0
201	37	7	100	0
203	37	36	100	0
204	37	38	100	0
206	37	67	100	0
209	38	8	100	0
211	38	37	100	0
212	38	39	100	0
214	38	68	100	0
217	39	9	100	0
219	39	38	100	0
220	39	40	100	0
222	39	69	100	0
225	40	10	100	0
227	40	39	100	0
228	40	41	100	0
230	40	70	100	0
233	41	11	100	0
235	41	40	100	0
236	41	42	100	0
238	41	71	100	0
241	42	12	100	0
243	42	41	100	0
244	42	43	100	0
246	42	72	100	0
249	43	13	100	0
251	43	42	100	0
252	43	44	100	0
254	43	73	100	0
257	44	14	100	0
259	44	43	100	0
260	44	45	100	0
262	44	74	100	0
265	45	15	100	0
267	45	44	100	0
268	45	46	100	0
270	45	75	100	0
273	46	16	100	0
275	46	45	100	0
276	46	47	100	0
278	46	76	100	0
281	47	17	100	0
283	47	46	100	0
284	47	48	100	0
286	47	77	100	0
289	48	18	100	0
291	48	47	100	0
292	48	49	100	0
294	48	78	100	0
297	49	19	100	0
299	49	48	100	0
300	49	50	100	0
302	49	79	100	0
305	50	20	100	0
307	50	49	100	0
308	50	51	100	0
310	50	80	100	0
313	51	21	100	0
315	51	50	100	0
316	51	52	100	0
318	51	81	100	0
321	52	22	100	0
323	52	51	100	0
324	52	53	100	0
326	52	82	100	0
329	53	23	100	0
331	53	52	100	0
332	53	54	100	0
334	53	83	100	0
337	54	24	100	0
339	54	53	100	0
340	54	55	100	0
342	54	84	100	0
345	55	25	100	0
347	55	54	100	0
348	55	56	100	0
350	55	85	100	0
353	56	26	100	0
355	56	55	100	0
356	56	57	100	0
358	56	86	100	0
361	57	27	100	0
363	57	56	100	0
364	57	58	100	0
366	57	87	100	0
369	58	28	100	0
371	58	57	100	0
372	58	59	100	0
374	58	88	100	0
377	59	29	100	0
378	59	58	100	0
380	59	89	100	0
381	60	30	100	0
383	60	61	100	0
384	60	90	100	0
387	61	31	100	0
389	61	60	100	0
390	61	62	100	0
392	61	91	100	0
395	62	32	100	0
397	62	61	100	0
398	62	63	100	0
400	62	92	100	0
403	63	33	100	0
405	63	62	100	0
406	63	64	100	0
408	63	93	100	0
411	64	34	100	0
413	64	63	100	0
414	64	65	100	0
416	64	94	100	0
419	65	35	100	0
421	65	64	100	0
422	65	66	100	0
424	65	95	100	0
427	66	36	100	0
429	66	65	100	0
430	66	67	100	0
432	66	96	100	0
435	67	37	100	0
437	67	66	100	0
438	67	68	100	0
440	67	97	100	0
443	68	38	100	0
445	68	67	100	0
446	68	69	100	0
448	68	98	100	0
451	69	39	100	0
453	69	68	100	0
454	69	70	100	0
456	69	99	100	0
459	70	40	100	0
461	70	69	100	0
462	70	71	100	0
464	70	100	100	0
467	71	41	100	0
469	71	70	100	0
470	71	72	100	0
472	71	101	100	0
475	72	42	100	0
477	72	71	100	0
478	72	73	100	0
480	72	102	100	0
483	73	43	100	0
485	73	72	100	0
486	73	74	100	0
488	73	103	100	0
491	74	44	100	0
493	74	73	100	0
494	74	75	100	0
496	74	104	100	0
499	75	45	100	0
501	75	74	100	0
502	75	76	100	0
504	75	105	100	0
507	76	46	100	0
509	76	75	100	0
510	76	77	100	0
512	76	106	100	0
515	77	47	100	0
517	77	76	100	0
518	77	78	100	0
520	77	107	100	0
523	78	48	100	0
525	78	77	100	0
526	78	79	100	0
528	78	108	100	0
531	79	49	100	0
533	79	78	100	0
534	79	80	100	0
536	79	109	100	0
539	80	50	100	0
541	80	79	100	0
542	80	81	100	0
544	80	110	100	0
547	81	51	100	0
549	81	80	100	0
550	81	82	100	0
552	81	111	100	0
555	82	52	100	0
557	82	81	100	0
558	82	83	100	0
560	82	112	100	0
563	83	53	100	0
565	83	82	100	0
566	83	84	100	0
568	83	113	100	0
571	84	54	100	0
573	84	83	100	0
574	84	85	100	0
576	84	114	100	0
579	85	55	100	0
581	85	84	100	0
582	85	86	100	0
584	85	115	100	0
587	86	56	100	0
589	86	85	100	0
590	86	87	100	0
592	86	116	100	0
595	87	57	100	0
597	87	86	100	0
598	87	88	100	0
600	87	117	100	0
603	88	58	100	0
605	88	87	100	0
606	88	89	100	0
608	88	118	100	0
611	89	59	100	0
612	89	88	100	0
614	89	119	100	0
615	90	60	100	0
617	90	91	100	0
618	90	120	100	0
621	91	61	100	0
623	91	90	100	0
624	91	92	100	0
626	91	121	100	0
629	92	62	100	0
631	92	91	100	0
632	92	93	100	0
634	92	122	100	0
637	93	63	100	0
639	93	92	100	0
640	93	94	100	0
642	93	123	100	0
645	94	64	100	0
647	94	93	100	0
648	94	95	100	0
650	94	124	100	0
653	95	65	100	0
655	95	94	100	0
656	95	96	100	0
658	95	125	100	0
661	96	66	100	0
663	96	95	100	0
664	96	97	100	0
666	96	126	100	0
669	97	67	100	0
671	97	96	100	0
672	97	98	100	0
674	97	127	100	0
677	98	68	100	0
679	98	97	100	0
680	98	99	100	0
682	98	128	100	0
685	99	69	100	0
687	99	98	100	0
688	99	100	100	0
690	99	129	100	0
693	100	70	100	0
695	100	99	100	0
696	100	101	100	0
698	100	130	100	0
701	101	71	100	0
703	101	100	100	0
704	101	102	100	0
706	101	131	100	0
709	102	72	100	0
711	102	101	100	0
712	102	103	100	0
714	102	132	100	0
717	103	73	100	0
719	103	102	100	0
720	103	104	100	0
722	103	133	100	0
725	104	74	100	0
727	104	103	100	0
728	104	105	100	0
730	104	134	100	0
733	105	75	100	0
735	105	104	100	0
736	105	106	100	0
738	105	135	100	0
741	106	76	100	0
743	106	105	100	0
744	106	107	100	0
746	106	136	100	0
749	107	77	100	0
751	107	106	100	0
752	107	108	100	0
754	107	137	100	0
757	108	78	100	0
759	108	107	100	0
760	108	109	100	0
762	108	138	100	0
765	109	79	100	0
767	109	108	100	0
768	109	110	100	0
770	109	139	100	0
773	110	80	100	0
775	110	109	100	0
776	110	111	100	0
778	110	140	100	0
781	111	81	100	0
783	111	110	100	0
784	111	112	100	0
786	111	141	100	0
789	112	82	100	0
791	112	111	100	0
792	112	113	100	0
794	112	142	100	0
797	113	83	100	0
799	113	112	100	0
800	113	114	100	0
802	113	143	100	0
805	114	84	100	0
807	114	113	100	0
808	114	115	100	0
810	114	144	100	0
