FID	X	Y	xidx	yidx	RID
0	-13791329.7	5093712.42	1.0	2.98132078	22
1	-13791229.7	5093712.42	1.0	2.51421884	22
2	-13791129.7	5093712.42	1.0	3.67376194	22
3	-13791029.7	5093712.42	1.0	4.05567601	22
4	-13790929.7	5093712.42	1.0	5.05995383	34
5	-13790829.7	5093712.42	1.0	5.17206763	34
6	-13790729.7	5093712.42	1.0	8.75045333	56
7	-13790629.7	5093712.42	1.0	6.69300766	34
8	-13790529.7	5093712.42	1.0	-1.7046512	49
9	-13790429.7	5093712.42	1.0	-1.136261	49
10	-13791329.7	5093612.42	1.0	2.22117966	88
11	-13791229.7	5093612.42	1.0	0.92995666	88
12	-13791129.7	5093612.42	1.0	4.2223996	22
13	-13791029.7	5093612.42	1.0	2.556783	22
14	-13790929.7	5093612.42	1.0	6.10886346	34
15	-13790829.7	5093612.42	1.0	6.50780959	34
16	-13790729.7	5093612.42	1.0	8.58057333	56
17	-13790629.7	5093612.42	1.0	6.8954769	34
18	-13790529.7	5093612.42	1.0	-2.9733154	49
19	-13790429.7	5093612.42	1.0	0.03331727	49
20	-13791329.7	5093512.42	1.0	1.81050416	88
21	-13791229.7	5093512.42	1.0	2.25500144	88
22	-13791129.7	5093512.42	1.0	3.24364769	22
23	-13791029.7	5093512.42	1.0	4.81645401	34
24	-13790929.7	5093512.42	1.0	5.13777265	34
25	-13790829.7	5093512.42	1.0	7.24946974	56
26	-13790729.7	5093512.42	1.0	8.69012147	56
27	-13790629.7	5093512.42	1.0	8.68689006	56
28	-13790529.7	5093512.42	1.0	-0.2488886	49
29	-13790429.7	5093512.42	1.0	-0.4501764	49
30	-13791329.7	5093412.42	1.0	1.54197301	88
31	-13791229.7	5093412.42	1.0	2.43516348	22
32	-13791129.7	5093412.42	1.0	4.75044476	34
33	-13791029.7	5093412.42	1.0	3.54405307	22
34	-13790929.7	5093412.42	1.0	5.92038875	34
35	-13790829.7	5093412.42	1.0	5.11026851	34
36	-13790729.7	5093412.42	1.0	6.43331247	34
37	-13790629.7	5093412.42	1.0	8.90497412	56
38	-13790529.7	5093412.42	1.0	0.1324278	49
39	-13790429.7	5093412.42	1.0	0.02221392	49
40	-13791329.7	5093312.42	1.0	1.41640494	88
41	-13791229.7	5093312.42	1.0	2.81684707	22
42	-13791129.7	5093312.42	1.0	5.18962226	34
43	-13791029.7	5093312.42	1.0	2.30938317	22
44	-13790929.7	5093312.42	1.0	5.11820161	34
45	-13790829.7	5093312.42	1.0	6.01863894	34
46	-13790729.7	5093312.42	1.0	8.77882239	56
47	-13790629.7	5093312.42	1.0	8.42823287	56
48	-13790529.7	5093312.42	1.0	0.31736797	49
49	-13790429.7	5093312.42	1.0	-0.7524141	49
50	-13791329.7	5093212.42	1.0	2.6727208	88
51	-13791229.7	5093212.42	1.0	1.89558885	88
52	-13791129.7	5093212.42	1.0	2.64360095	22
53	-13791029.7	5093212.42	1.0	2.76756548	22
54	-13790929.7	5093212.42	1.0	6.23784462	34
55	-13790829.7	5093212.42	1.0	6.01354854	34
56	-13790729.7	5093212.42	1.0	8.10887198	56
57	-13790629.7	5093212.42	1.0	8.02828363	56
58	-13790529.7	5093212.42	1.0	-1.2963918	49
59	-13790429.7	5093212.42	1.0	0.09513944	49
60	-13791329.7	5093112.42	1.0	1.46871962	88
61	-13791229.7	5093112.42	1.0	3.02973268	22
62	-13791129.7	5093112.42	1.0	3.45556083	22
63	-13791029.7	5093112.42	1.0	3.33182826	22
64	-13790929.7	5093112.42	1.0	4.3644706	22
65	-13790829.7	5093112.42	1.0	4.95579012	34
66	-13790729.7	5093112.42	1.0	7.42117417	56
67	-13790629.7	5093112.42	1.0	6.8005488	56
68	-13790529.7	5093112.42	1.0	-0.423715	49
69	-13790429.7	5093112.42	1.0	-1.1859835	49
70	-13791329.7	5093012.42	1.0	1.56186437	88
71	-13791229.7	5093012.42	1.0	0.88168175	88
72	-13791129.7	5093012.42	1.0	4.00731456	22
73	-13791029.7	5093012.42	1.0	3.38706126	22
74	-13790929.7	5093012.42	1.0	6.61303888	34
75	-13790829.7	5093012.42	1.0	6.73620521	34
76	-13790729.7	5093012.42	1.0	6.29404799	34
77	-13790629.7	5093012.42	1.0	8.36916395	56
78	-13790529.7	5093012.42	1.0	-0.3654619	49
79	-13790429.7	5093012.42	1.0	-1.271023	49
80	-13791329.7	5092912.42	1.0	3.61898166	22
81	-13791229.7	5092912.42	1.0	3.54160517	22
82	-13791129.7	5092912.42	1.0	5.29974807	22
83	-13791029.7	5092912.42	1.0	2.26690437	22
84	-13790929.7	5092912.42	1.0	7.02692143	34
85	-13790829.7	5092912.42	1.0	4.56780938	34
86	-13790729.7	5092912.42	1.0	9.87657342	56
87	-13790629.7	5092912.42	1.0	7.62309664	56
88	-13790529.7	5092912.42	1.0	1.58617093	88
89	-13790429.7	5092912.42	1.0	0.69339065	88
90	-13791329.7	5092812.42	1.0	1.74812086	88
91	-13791229.7	5092812.42	1.0	1.15756426	88
92	-13791129.7	5092812.42	1.0	3.0166899	22
93	-13791029.7	5092812.42	1.0	4.35750775	22
94	-13790929.7	5092812.42	1.0	4.15881169	22
95	-13790829.7	5092812.42	1.0	6.36609322	34
96	-13790729.7	5092812.42	1.0	9.83193608	56
97	-13790629.7	5092812.42	1.0	8.00301743	56
98	-13790529.7	5092812.42	1.0	-1.9580812	49
99	-13790429.7	5092812.42	1.0	-0.1348013	49
100	-13791329.7	5092712.42	1.0	2.18451869	88
101	-13791229.7	5092712.42	1.0	2.9370822	22
102	-13791129.7	5092712.42	1.0	2.38642149	22
103	-13791029.7	5092712.42	1.0	5.47071386	34
104	-13790929.7	5092712.42	1.0	5.66822286	34
105	-13790829.7	5092712.42	1.0	5.31078202	34
106	-13790729.7	5092712.42	1.0	7.92397653	56
107	-13790629.7	5092712.42	1.0	8.00395759	56
108	-13790529.7	5092712.42	1.0	-1.540616	49
109	-13790429.7	5092712.42	1.0	2.04671396	49
110	-13791329.7	5092612.42	1.0	2.73100034	22
111	-13791229.7	5092612.42	1.0	3.36155612	22
112	-13791129.7	5092612.42	1.0	2.8119824	22
113	-13791029.7	5092612.42	1.0	3.4502538	22
114	-13790929.7	5092612.42	1.0	8.03460756	34
115	-13790829.7	5092612.42	1.0	5.44928558	34
116	-13790729.7	5092612.42	1.0	7.81498588	56
117	-13790629.7	5092612.42	1.0	5.51284846	56
118	-13790529.7	5092612.42	1.0	-1.3969993	49
119	-13790429.7	5092612.42	1.0	-1.0971719	49
